run_id,client_mappers,present_clients,store_mappers,total_mappers,total_present_mappers,mode,oversubscribed,range_bytes,samples,p50_us,p95_us,p99_us,max_us,mean_us,MiBps_at_p50,syscall_failures,backing_checks,backing_failures,zero_checks,zero_failures
r1_m64_p32_parked,64,32,1,65,33,parked,0,4194304,1024,1718.8,1754.9,1775.2,2307.5,1720.85,2327.1,0,1024,0,1,0
r1_m64_p32_parked,64,32,1,65,33,parked,0,16777216,1024,6787.5,6893.2,6954.1,7441.6,6787.03,2357.3,0,1024,0,1,0
r1_m64_p32_parked,64,32,1,65,33,parked,0,1048576,1024,459.3,483.2,493.1,543.6,459.93,2177.3,0,1024,0,1,0
r1_m0_p0_parked,0,0,1,1,1,parked,0,1048576,1024,60.6,68.0,73.8,238.0,61.73,16504.1,0,1024,0,1,0
r1_m0_p0_parked,0,0,1,1,1,parked,0,16777216,1024,1078.2,1115.0,1172.2,1417.5,1082.09,14839.6,0,1024,0,1,0
r1_m0_p0_parked,0,0,1,1,1,parked,0,4194304,1024,246.8,257.8,282.7,362.3,249.36,16209.6,0,1024,0,1,0
r1_m1_p1_parked,1,1,1,2,2,parked,0,4194304,1024,435.6,471.4,483.9,537.3,438.50,9183.1,0,1024,0,1,0
r1_m1_p1_parked,1,1,1,2,2,parked,0,1048576,1024,108.3,123.3,129.6,140.7,111.64,9236.9,0,1024,0,1,0
r1_m1_p1_parked,1,1,1,2,2,parked,0,16777216,1024,1814.0,1920.8,1982.1,2043.0,1815.53,8820.3,0,1024,0,1,0
r1_m64_p0_parked,64,0,1,65,1,parked,0,16777216,1024,1128.8,1198.3,1276.8,1496.0,1136.61,14174.6,0,1024,0,1,0
r1_m64_p0_parked,64,0,1,65,1,parked,0,4194304,1024,271.0,291.4,340.8,382.2,274.51,14762.0,0,1024,0,1,0
r1_m64_p0_parked,64,0,1,65,1,parked,0,1048576,1024,69.5,75.5,80.6,151.6,70.05,14391.6,0,1024,0,1,0
r1_m8_p8_parked,8,8,1,9,9,parked,0,4194304,1024,747.6,772.8,795.5,867.8,749.23,5350.6,0,1024,0,1,0
r1_m8_p8_parked,8,8,1,9,9,parked,0,1048576,1024,187.3,201.4,209.0,234.0,188.66,5338.8,0,1024,0,1,0
r1_m8_p8_parked,8,8,1,9,9,parked,0,16777216,1024,2953.0,3006.5,3052.4,3114.2,2956.96,5418.2,0,1024,0,1,0
r1_m8_p8_active,8,8,1,9,9,active,0,4194304,1024,769.1,801.1,815.8,863.2,771.38,5201.0,0,1024,0,1,0
r1_m8_p8_active,8,8,1,9,9,active,0,1048576,1024,207.6,228.9,237.1,268.2,209.85,4817.0,0,1024,0,1,0
r1_m8_p8_active,8,8,1,9,9,active,0,16777216,1024,3027.4,3097.5,3128.6,4405.7,3033.20,5285.1,0,1024,0,1,0
r1_m64_p64_parked,64,64,1,65,65,parked,0,4194304,1024,2970.6,3013.4,3036.1,3113.8,2969.74,1346.5,0,1024,0,1,0
r1_m64_p64_parked,64,64,1,65,65,parked,0,16777216,1024,11765.1,11915.0,12018.2,13340.0,11765.94,1360.0,0,1024,0,1,0
r1_m64_p64_parked,64,64,1,65,65,parked,0,1048576,1024,780.9,804.9,821.4,921.4,780.40,1280.6,0,1024,0,1,0
r1_m128_p0_parked,128,0,1,129,1,parked,0,4194304,1024,282.7,299.3,331.1,389.6,285.77,14151.4,0,1024,0,1,0
r1_m128_p0_parked,128,0,1,129,1,parked,0,1048576,1024,75.7,84.3,88.3,129.3,76.82,13207.4,0,1024,0,1,0
r1_m128_p0_parked,128,0,1,129,1,parked,0,16777216,1024,1136.4,1238.1,1291.8,1506.4,1147.55,14080.1,0,1024,0,1,0
r1_m1_p1_active,1,1,1,2,2,active,0,4194304,1024,448.1,464.4,472.6,521.7,449.00,8926.3,0,1024,0,1,0
r1_m1_p1_active,1,1,1,2,2,active,0,16777216,1024,1872.6,1897.0,1918.3,2085.5,1861.51,8544.5,0,1024,0,1,0
r1_m1_p1_active,1,1,1,2,2,active,0,1048576,1024,111.9,119.8,125.7,136.3,113.12,8933.3,0,1024,0,1,0
r1_m256_p0_parked,256,0,1,257,1,parked,0,4194304,1024,311.2,365.6,398.6,591.6,321.40,12852.2,0,1024,0,1,0
r1_m256_p0_parked,256,0,1,257,1,parked,0,1048576,1024,99.8,109.1,112.7,221.2,100.74,10022.9,0,1024,0,1,0
r1_m256_p0_parked,256,0,1,257,1,parked,0,16777216,1024,1163.8,1236.5,1272.1,1483.4,1177.38,13747.7,0,1024,0,1,0
r1_m64_p1_parked,64,1,1,65,2,parked,0,4194304,1024,476.5,512.0,554.3,774.7,476.84,8394.9,0,1024,0,1,0
r1_m64_p1_parked,64,1,1,65,2,parked,0,16777216,1024,1857.1,1968.0,2029.0,2078.4,1867.34,8615.5,0,1024,0,1,0
r1_m64_p1_parked,64,1,1,65,2,parked,0,1048576,1024,121.2,136.1,146.6,174.2,122.71,8249.4,0,1024,0,1,0
r1_m32_p32_parked,32,32,1,33,33,parked,0,4194304,1024,1714.3,1754.1,1799.8,2358.2,1717.57,2333.3,0,1024,0,1,0
r1_m32_p32_parked,32,32,1,33,33,parked,0,16777216,1024,6819.4,6901.6,6953.0,7672.5,6819.46,2346.2,0,1024,0,1,0
r1_m32_p32_parked,32,32,1,33,33,parked,0,1048576,1024,445.3,469.5,480.8,491.9,446.31,2245.6,0,1024,0,1,0
r2_m128_p0_parked,128,0,1,129,1,parked,0,16777216,1024,1143.9,1253.3,1292.7,1648.6,1156.34,13987.0,0,1024,0,1,0
r2_m128_p0_parked,128,0,1,129,1,parked,0,4194304,1024,278.4,297.5,352.2,466.6,283.14,14367.9,0,1024,0,1,0
r2_m128_p0_parked,128,0,1,129,1,parked,0,1048576,1024,75.9,84.6,92.0,196.3,77.37,13182.7,0,1024,0,1,0
r2_m64_p64_parked,64,64,1,65,65,parked,0,4194304,1024,2974.3,3015.9,3113.8,4265.9,2982.31,1344.8,0,1024,0,1,0
