phase,iteration,churned,generation,input_target,input_validation,output_target,output_validation,visited_chunks,elapsed_us,candidate_bytes,deep_arrival,reached_end,valid
mutation,0,1,1000009,576004096,0,576004096,37912496,131641,10000.825,0,0,0,1
mutation,1,1,1000011,576004096,0,576004096,52526768,182385,10000.637,0,0,0,1
mutation,2,1,1000013,576004096,0,576004096,54919472,190693,10000.715,0,0,0,1
mutation,3,1,1000015,576004096,0,576004096,57386432,199258,10000.614,0,0,0,1
mutation,4,1,1000017,576004096,0,576004096,58421504,202852,10000.636,0,0,0,1
mutation,5,1,1000019,576004096,0,576004096,59073008,205115,10000.740,0,0,0,1
mutation,6,1,1000021,576004096,0,576004096,59500928,206600,10000.622,0,0,0,1
mutation,7,1,1000023,576004096,0,576004096,59831600,207749,10000.723,0,0,0,1
mutation,8,1,1000025,576004096,0,576004096,60125936,208771,10000.692,0,0,0,1
mutation,9,1,1000027,576004096,0,576004096,60500336,210071,10000.651,0,0,0,1
mutation,10,1,1000029,576004096,0,576004096,60595376,210401,10000.668,0,0,0,1
mutation,11,1,1000031,576004096,0,576004096,60829232,211213,10000.643,0,0,0,1
mutation,12,1,1000033,576004096,0,576004096,61014704,211857,10000.702,0,0,0,1
mutation,13,1,1000035,576004096,0,576004096,61065392,212033,10000.706,0,0,0,1
mutation,14,1,1000037,576004096,0,576004096,61295792,212833,10000.771,0,0,0,1
mutation,15,1,1000039,576004096,0,576004096,61340096,212986,10000.618,0,0,0,1
mutation,16,1,1000041,576004096,0,576004096,61451312,213373,10000.656,0,0,0,1
mutation,17,1,1000043,576004096,0,576004096,61153520,212339,10000.677,0,0,0,1
mutation,18,1,1000045,576004096,0,576004096,60674288,210675,10000.665,0,0,0,1
mutation,19,1,1000047,576004096,0,576004096,61197296,212491,10000.637,0,0,0,1
mutation,20,1,1000049,576004096,0,576004096,61395392,213178,10000.742,0,0,0,1
mutation,21,1,1000051,576004096,0,576004096,61487600,213499,10000.658,0,0,0,1
mutation,22,1,1000053,576004096,0,576004096,61481264,213477,10000.688,0,0,0,1
mutation,23,1,1000055,576004096,0,576004096,61440944,213337,10000.604,0,0,0,1
mutation,24,1,1000057,576004096,0,576004096,61432880,213309,10000.616,0,0,0,1
mutation,25,1,1000059,576004096,0,576004096,61460528,213405,10000.601,0,0,0,1
mutation,26,1,1000061,576004096,0,576004096,61442096,213341,10000.608,0,0,0,1
mutation,27,1,1000063,576004096,0,576004096,61439792,213333,10000.616,0,0,0,1
mutation,28,1,1000065,576004096,0,576004096,61445552,213353,10000.615,0,0,0,1
mutation,29,1,1000067,576004096,0,576004096,61453040,213379,10000.635,0,0,0,1
mutation,30,1,1000069,576004096,0,576004096,61395440,213179,10000.632,0,0,0,1
mutation,31,1,1000071,576004096,0,576004096,61339520,212984,10000.618,0,0,0,1
mutation,32,1,1000073,576004096,0,576004096,61526768,213635,10000.647,0,0,0,1
mutation,33,1,1000075,576004096,0,576004096,61516400,213599,10000.640,0,0,0,1
mutation,34,1,1000077,576004096,0,576004096,61519280,213609,10000.600,0,0,0,1
mutation,35,1,1000079,576004096,0,576004096,61518128,213605,10000.643,0,0,0,1
mutation,36,1,1000081,576004096,0,576004096,61394864,213177,10000.626,0,0,0,1
mutation,37,1,1000083,576004096,0,576004096,61456496,213391,10000.618,0,0,0,1
mutation,38,1,1000085,576004096,0,576004096,61308464,212877,10000.657,0,0,0,1
mutation,39,1,1000087,576004096,0,576004096,61425392,213283,10000.625,0,0,0,1
mutation,40,1,1000089,576004096,0,576004096,61496240,213529,10000.631,0,0,0,1
mutation,41,1,1000091,576004096,0,576004096,61503104,213552,10000.619,0,0,0,1
mutation,42,1,1000093,576004096,0,576004096,61478912,213468,10000.622,0,0,0,1
mutation,43,1,1000095,576004096,0,576004096,61391408,213165,10000.632,0,0,0,1
mutation,44,1,1000097,576004096,0,576004096,61422464,213272,10000.570,0,0,0,1
mutation,45,1,1000099,576004096,0,576004096,61511216,213581,10000.619,0,0,0,1
mutation,46,1,1000101,576004096,0,576004096,61510064,213577,10000.615,0,0,0,1
mutation,47,1,1000103,576004096,0,576004096,61489904,213507,10000.567,0,0,0,1
mutation,48,1,1000105,576004096,0,576004096,61354496,213036,10000.587,0,0,0,1
mutation,49,1,1000107,576004096,0,576004096,61377584,213117,10000.594,0,0,0,1
mutation,50,1,1000109,576004096,0,576004096,61484144,213487,10000.593,0,0,0,1
mutation,51,1,1000111,576004096,0,576004096,61356800,213044,10000.613,0,0,0,1
mutation,52,1,1000113,576004096,0,576004096,61453616,213381,10000.619,0,0,0,1
mutation,53,1,1000115,576004096,0,576004096,61469744,213437,10000.593,0,0,0,1
mutation,54,1,1000117,576004096,0,576004096,61506032,213563,10000.564,0,0,0,1
mutation,55,1,1000119,576004096,0,576004096,61470896,213441,10000.596,0,0,0,1
mutation,56,1,1000121,576004096,0,576004096,61487600,213499,10000.583,0,0,0,1
mutation,57,1,1000123,576004096,0,576004096,61541120,213684,10000.570,0,0,0,1
mutation,58,1,1000125,576004096,0,576004096,61468592,213433,10000.587,0,0,0,1
mutation,59,1,1000127,576004096,0,576004096,61419632,213263,10000.590,0,0,0,1
mutation,60,1,1000129,576004096,0,576004096,61493936,213521,10000.600,0,0,0,1
mutation,61,1,1000131,576004096,0,576004096,61432304,213307,10000.626,0,0,0,1
mutation,62,1,1000133,576004096,0,576004096,61349936,213021,10000.579,0,0,0,1
mutation,63,1,1000135,576004096,0,576004096,61415600,213249,10000.595,0,0,0,1
mutation,64,1,1000137,576004096,0,576004096,61450736,213371,10000.570,0,0,0,1
mutation,65,1,1000139,576004096,0,576004096,61476032,213458,10000.593,0,0,0,1
mutation,66,1,1000141,576004096,0,576004096,61486448,213495,10000.605,0,0,0,1
mutation,67,1,1000143,576004096,0,576004096,61462208,213410,10000.568,0,0,0,1
mutation,68,1,1000145,576004096,0,576004096,61527344,213637,10000.596,0,0,0,1
mutation,69,1,1000147,576004096,0,576004096,61433456,213311,10000.628,0,0,0,1
mutation,70,1,1000149,576004096,0,576004096,61385072,213143,10000.607,0,0,0,1
mutation,71,1,1000151,576004096,0,576004096,61441520,213339,10000.586,0,0,0,1
mutation,72,1,1000153,576004096,0,576004096,61430528,213300,10000.574,0,0,0,1
mutation,73,1,1000155,576004096,0,576004096,61465088,213420,10000.569,0,0,0,1
mutation,74,1,1000157,576004096,0,576004096,61505408,213560,10000.584,0,0,0,1
mutation,75,1,1000159,576004096,0,576004096,61443776,213346,10000.595,0,0,0,1
mutation,76,1,1000161,576004096,0,576004096,61467440,213429,10000.607,0,0,0,1
mutation,77,1,1000163,576004096,0,576004096,61424816,213281,10000.620,0,0,0,1
mutation,78,1,1000165,576004096,0,576004096,61487600,213499,10000.606,0,0,0,1
