phase,iteration,churned,generation,input_target,input_validation,output_target,output_validation,visited_chunks,elapsed_us,candidate_bytes,deep_arrival,reached_end,valid
mutation,0,1,500009,288002048,0,288002048,39202736,136121,10001.004,0,0,0,1
mutation,1,1,500011,288002048,0,288002048,52121264,180977,10000.721,0,0,0,1
mutation,2,1,500013,288002048,0,288002048,54041648,187645,10000.741,0,0,0,1
mutation,3,1,500015,288002048,0,288002048,56058752,194648,10000.725,0,0,0,1
mutation,4,1,500017,288002048,0,288002048,57506864,199677,10000.741,0,0,0,1
mutation,5,1,500019,288002048,0,288002048,58068464,201627,10000.745,0,0,0,1
mutation,6,1,500021,288002048,0,288002048,58931264,204622,10000.696,0,0,0,1
mutation,7,1,500023,288002048,0,288002048,59139824,205347,10000.722,0,0,0,1
mutation,8,1,500025,288002048,0,288002048,59297648,205895,10000.710,0,0,0,1
mutation,9,1,500027,288002048,0,288002048,59799344,207637,10000.778,0,0,0,1
mutation,10,1,500029,288002048,0,288002048,59898992,207983,10000.779,0,0,0,1
mutation,11,1,500031,288002048,0,288002048,60018800,208399,10000.836,0,0,0,1
mutation,12,1,500033,288002048,0,288002048,59904752,208003,10000.735,0,0,0,1
mutation,13,1,500035,288002048,0,288002048,60094832,208663,10000.718,0,0,0,1
mutation,14,1,500037,288002048,0,288002048,60036080,208459,10000.716,0,0,0,1
mutation,15,1,500039,288002048,0,288002048,60117296,208741,10000.720,0,0,0,1
mutation,16,1,500041,288002048,0,288002048,60070592,208578,10000.719,0,0,0,1
mutation,17,1,500043,288002048,0,288002048,59998592,208328,10000.734,0,0,0,1
mutation,18,1,500045,288002048,0,288002048,60172016,208931,10000.691,0,0,0,1
mutation,19,1,500047,288002048,0,288002048,60102848,208690,10000.728,0,0,0,1
mutation,20,1,500049,288002048,0,288002048,59943344,208137,10000.771,0,0,0,1
mutation,21,1,500051,288002048,0,288002048,59955440,208179,10000.751,0,0,0,1
mutation,22,1,500053,288002048,0,288002048,60134576,208801,10000.744,0,0,0,1
mutation,23,1,500055,288002048,0,288002048,60117872,208743,10000.736,0,0,0,1
mutation,24,1,500057,288002048,0,288002048,60168560,208919,10000.747,0,0,0,1
mutation,25,1,500059,288002048,0,288002048,60172592,208933,10000.744,0,0,0,1
mutation,26,1,500061,288002048,0,288002048,60180656,208961,10000.809,0,0,0,1
