phase,quantum,state,advised_kb,obs_drop_kb,quantum_ran,next_delay_ms,scan,cursor_generation,next_generation,topology_before,topology_after,free_before,free_after,topology_changed,validation_reset,target_rewound,target_in,target_out,validation_in,validation_out,visited_chunks,reached_end
churn,0,Trimming,4096,4096,1,0,1,206,206,206,206,70,70,0,0,0,0,4341760,0,4326464,9,0
churn,1,Trimming,4096,4096,1,0,1,222,222,222,222,78,78,1,1,0,4341760,8605696,0,8586432,11,0
churn,2,Trimming,4096,4096,1,0,1,238,238,238,238,86,86,1,1,0,8605696,12869632,0,12846400,13,0
churn,3,Trimming,4096,4096,1,0,1,254,254,254,254,94,94,1,1,0,12869632,17133568,0,17106368,15,0
churn,4,Trimming,4096,4096,1,0,1,270,270,270,270,102,102,1,1,0,17133568,21397504,0,21366336,17,0
churn,5,Trimming,4096,4096,1,0,1,286,286,286,286,110,110,1,1,0,21397504,25661440,0,25626304,19,0
churn,6,Trimming,4096,4096,1,0,1,302,302,302,302,118,118,1,1,0,25661440,29925376,0,29886272,21,0
churn,7,Trimming,4096,4096,1,0,1,318,318,318,318,126,126,1,1,0,29925376,34189312,0,34146240,23,0
churn,8,Trimming,4096,4096,1,0,1,334,334,334,334,134,134,1,1,0,34189312,38453248,0,38406208,25,0
churn,9,Trimming,4096,4096,1,0,1,350,350,350,350,142,142,1,1,0,38453248,42717184,0,42666176,27,0
churn,10,Trimming,4096,4096,1,0,1,366,366,366,366,150,150,1,1,0,42717184,46981120,0,46926144,29,0
churn,11,Trimming,4096,4096,1,0,1,382,382,382,382,158,158,1,1,0,46981120,51245056,0,51186112,31,0
churn,12,Trimming,4096,4096,1,0,1,398,398,398,398,166,166,1,1,0,51245056,55508992,0,55446080,33,0
churn,13,Trimming,4096,4096,1,0,1,414,414,414,414,174,174,1,1,0,55508992,59772928,0,59706048,35,0
churn,14,Trimming,4096,4096,1,0,1,430,430,430,430,182,182,1,1,0,59772928,64036864,0,63966016,37,0
churn,15,Trimming,4096,4096,1,0,1,446,446,446,446,190,190,1,1,0,64036864,68300800,0,68225984,39,0
churn,16,Trimming,4096,4096,1,0,1,462,462,462,462,198,198,1,1,0,68300800,72564736,0,72485952,41,0
churn,17,Trimming,4096,4096,1,0,1,478,478,478,478,206,206,1,1,0,72564736,76828672,0,76745920,43,0
churn,18,Trimming,4096,4096,1,0,1,494,494,494,494,214,214,1,1,0,76828672,81092608,0,81005888,45,0
churn,19,Trimming,4096,4096,1,0,1,510,510,510,510,222,222,1,1,0,81092608,85356544,0,85265856,47,0
churn,20,Trimming,4096,4096,1,0,1,526,526,526,526,230,230,1,1,0,85356544,89620480,0,89525824,49,0
churn,21,Trimming,4096,4096,1,0,1,542,542,542,542,238,238,1,1,0,89620480,93884416,0,93785792,51,0
churn,22,Trimming,4096,4096,1,0,1,558,558,558,558,246,246,1,1,0,93884416,98148352,0,98045760,53,0
churn,23,Trimming,4096,4096,1,0,1,574,574,574,574,254,254,1,1,0,98148352,102412288,0,102305728,55,0
churn,24,Trimming,4096,4096,1,0,1,590,590,590,590,262,262,1,1,0,102412288,106676224,0,106565696,57,0
churn,25,Trimming,4096,4096,1,0,1,606,606,606,606,270,270,1,1,0,106676224,110940160,0,110825664,59,0
churn,26,Trimming,4096,4096,1,0,1,622,622,622,622,278,278,1,1,0,110940160,115204096,0,115085632,61,0
churn,27,Trimming,4096,4096,1,0,1,638,638,638,638,286,286,1,1,0,115204096,119468032,0,119345600,63,0
churn,28,Trimming,4096,4096,1,0,1,654,654,654,654,294,294,1,1,0,119468032,123731968,0,123605568,65,0
churn,29,Trimming,4096,4096,1,0,1,670,670,670,670,302,302,1,1,0,123731968,127995904,0,127865536,67,0
churn,30,Trimming,4096,4096,1,0,1,686,686,686,686,310,310,1,1,0,127995904,132259840,0,132125504,69,0
churn,31,Trimming,4096,4096,1,0,1,702,702,702,702,318,318,1,1,0,132259840,136523776,0,136385472,71,0
churn,32,Trimming,4096,4096,1,0,1,718,718,718,718,326,326,1,1,0,136523776,140787712,0,140645440,73,0
churn,33,Trimming,4096,4096,1,0,1,734,734,734,734,334,334,1,1,0,140787712,145051648,0,144905408,75,0
churn,34,Trimming,4096,4096,1,0,1,750,750,750,750,342,342,1,1,0,145051648,149315584,0,149165376,77,0
churn,35,Trimming,4096,4096,1,0,1,766,766,766,766,350,350,1,1,0,149315584,153579520,0,153425344,79,0
churn,36,Trimming,4096,4096,1,0,1,782,782,782,782,358,358,1,1,0,153579520,157843456,0,157685312,81,0
churn,37,Trimming,4096,4096,1,0,1,798,798,798,798,366,366,1,1,0,157843456,162107392,0,161945280,83,0
churn,38,Trimming,4096,4096,1,0,1,814,814,814,814,374,374,1,1,0,162107392,166371328,0,166205248,85,0
churn,39,Trimming,4096,4096,1,0,1,830,830,830,830,382,382,1,1,0,166371328,170635264,0,170465216,87,0
churn,40,Trimming,4096,4096,1,0,1,846,846,846,846,390,390,1,1,0,170635264,174899200,0,174725184,89,0
churn,41,Trimming,4096,4096,1,0,1,862,862,862,862,398,398,1,1,0,174899200,179163136,0,178985152,91,0
churn,42,Trimming,4096,4096,1,0,1,878,878,878,878,406,406,1,1,0,179163136,183427072,0,183245120,93,0
churn,43,Trimming,4096,4096,1,0,1,894,894,894,894,414,414,1,1,0,183427072,187691008,0,187505088,95,0
churn,44,Trimming,4096,4096,1,0,1,910,910,910,910,422,422,1,1,0,187691008,191954944,0,191765056,97,0
churn,45,Trimming,4096,4096,1,0,1,926,926,926,926,430,430,1,1,0,191954944,196218880,0,196025024,99,0
churn,46,Trimming,4096,4096,1,0,1,942,942,942,942,438,438,1,1,0,196218880,200482816,0,200284992,101,0
churn,47,Trimming,4096,4096,1,0,1,958,958,958,958,446,446,1,1,0,200482816,204746752,0,204544960,103,0
churn,48,Trimming,4096,4096,1,0,1,974,974,974,974,454,454,1,1,0,204746752,209010688,0,208804928,105,0
churn,49,Trimming,4096,4096,1,0,1,990,990,990,990,462,462,1,1,0,209010688,213274624,0,213064896,107,0
churn,50,Trimming,4096,4096,1,0,1,1006,1006,1006,1006,470,470,1,1,0,213274624,217538560,0,217324864,109,0
churn,51,Trimming,4096,4096,1,0,1,1022,1022,1022,1022,478,478,1,1,0,217538560,221802496,0,221584832,111,0
churn,52,Trimming,4096,4096,1,0,1,1038,1038,1038,1038,486,486,1,1,0,221802496,226066432,0,225844800,113,0
churn,53,Trimming,4096,4096,1,0,1,1054,1054,1054,1054,494,494,1,1,0,226066432,230330368,0,230104768,115,0
churn,54,Trimming,4096,4096,1,0,1,1070,1070,1070,1070,502,502,1,1,0,230330368,234594304,0,234364736,117,0
churn,55,Trimming,4096,4096,1,0,1,1086,1086,1086,1086,510,510,1,1,0,234594304,238858240,0,238624704,119,0
churn,56,Trimming,4096,4096,1,0,1,1102,1102,1102,1102,518,518,1,1,0,238858240,243122176,0,242884672,121,0
churn,57,Trimming,4096,4096,1,0,1,1118,1118,1118,1118,526,526,1,1,0,243122176,247386112,0,247144640,123,0
churn,58,Trimming,4096,4096,1,0,1,1134,1134,1134,1134,534,534,1,1,0,247386112,251650048,0,251404608,125,0
churn,59,Trimming,4096,4096,1,0,1,1150,1150,1150,1150,542,542,1,1,0,251650048,255913984,0,255664576,127,0
churn,60,Trimming,4096,4096,1,0,1,1166,1166,1166,1166,550,550,1,1,0,255913984,260177920,0,259924544,129,0
churn,61,Trimming,4096,4096,1,0,1,1182,1182,1182,1182,558,558,1,1,0,260177920,264441856,0,264184512,131,0
churn,62,Trimming,4096,4096,1,0,1,1198,1198,1198,1198,566,566,1,1,0,264441856,268705792,0,268444480,133,0
churn,63,Trimming,4096,3844,1,0,1,1214,1214,1214,1214,574,574,1,1,0,268705792,272900096,0,268444480,133,0
churn,64,Trimming,4096,0,1,0,1,1230,1230,1230,1230,582,582,1,1,0,272900096,277094400,0,268444480,133,0
churn,65,Trimming,4096,0,1,0,1,1246,1246,1246,1246,590,590,1,1,0,277094400,281288704,0,268444480,133,0
churn,66,Trimming,4096,0,1,0,1,1262,1262,1262,1262,598,598,1,1,0,281288704,285483008,0,268444480,133,0
churn,67,Trimming,4096,0,1,0,1,1278,1278,1278,1278,606,606,1,1,0,285483008,289677312,0,268444480,133,0
churn,68,Trimming,4096,0,1,0,1,1294,1294,1294,1294,614,614,1,1,0,289677312,293871616,0,268444480,133,0
churn,69,Trimming,4096,0,1,0,1,1310,1310,1310,1310,622,622,1,1,0,293871616,298065920,0,268444480,133,0
churn,70,Trimming,4096,0,1,0,1,1326,1326,1326,1326,630,630,1,1,0,298065920,302260224,0,268444480,133,0
churn,71,Trimming,4096,0,1,0,1,1342,1342,1342,1342,638,638,1,1,0,302260224,306454528,0,268444480,133,0
churn,72,Trimming,4096,0,1,0,1,1358,1358,1358,1358,646,646,1,1,0,306454528,310648832,0,268444480,133,0
churn,73,Trimming,4096,0,1,0,1,1374,1374,1374,1374,654,654,1,1,0,310648832,314843136,0,268444480,133,0
churn,74,Trimming,4096,0,1,0,1,1390,1390,1390,1390,662,662,1,1,0,314843136,319037440,0,268444480,133,0
churn,75,Trimming,4096,0,1,0,1,1406,1406,1406,1406,670,670,1,1,0,319037440,323231744,0,268444480,133,0
